z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,status
108.000000000,-20.0000000000,75.6000000000,-0.0781216578110,-0.206344132274,-0.0699481210439,-0.128222474463,0.136396011230,0.00817353676710,-0.00943859301290,-0.0837046940007,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,79.2000000000,-0.0781216578110,-0.206344132274,-0.0685512133546,-0.128222474463,0.137792918920,0.00957044445643,-0.00703958090476,-0.0855212491895,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,82.8000000000,-0.0781216578110,-0.206344132274,-0.0675514019713,-0.128222474463,0.138792730303,0.0105702558398,-0.00461300375899,-0.0868255356024,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,86.4000000000,-0.0781216578110,-0.206344132274,-0.0669526364909,-0.128222474463,0.139391495783,0.0111690213201,-0.00216842744396,-0.0876124123061,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,90.0000000000,-0.0781216578110,-0.206344132274,-0.0667572803485,-0.128222474463,0.139586851926,0.0113643774625,0.000284511788748,-0.0878787840831,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,93.6000000000,-0.0781216578110,-0.206344132274,-0.0669661061618,-0.128222474463,0.139378026112,0.0111555516492,0.00273614432604,-0.0876235967566,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,97.2000000000,-0.0781216578110,-0.206344132274,-0.0675782875508,-0.128222474463,0.138765844723,0.0105433702602,0.00517680607327,-0.0868478596548,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,100.800000000,-0.0781216578110,-0.206344132274,-0.0685914070466,-0.128222474463,0.137752725228,0.00953025076439,0.00759687561910,-0.0855546251075,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,104.400000000,-0.0781216578110,-0.206344132274,-0.0700014621495,-0.128222474463,0.136342670125,0.00812019566155,0.00998681263307,-0.0837489890666,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,108.000000000,-0.0781216578110,-0.206344132274,-0.0718028861808,-0.128222474463,0.134541246093,0.00631877163027,0.0123371945257,-0.0814380532891,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,111.600000000,-0.0781216578110,-0.206344132274,-0.0739885602075,-0.128222474463,0.132355572067,0.00413309760355,0.0146387551395,-0.0786309337038,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,115.200000000,-0.0781216578110,-0.206344132274,-0.0765498552246,-0.128222474463,0.129794277050,0.00157180258646,0.0168824188900,-0.0753386746543,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,118.800000000,-0.0781216578110,-0.206344132274,-0.0794766505298,-0.128222474463,0.126867481744,-0.00135499271874,0.0190593389977,-0.0715742621551,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,122.400000000,-0.0781216578110,-0.206344132274,-0.0827573913129,-0.128222474463,0.123586740961,-0.00463573350184,0.0211609294973,-0.0673525102490,871851,1163671,0.213700000000,true,SUCCESS
